sku,bin_location,type,store,name,price,weight,is_in_stock,manage_stock,use_config_manage_stock,model_size_desc,status,visibility,brand,categories,pack,fabric,made,source,source_sku,tax_class_id,image,small_image,thumbnail,image_label,small_image_label,thumbnail_label,media_gallery,auctioninc_product_length,auctioninc_product_width,auctioninc_product_height,auctioninc_calc_method,attribute_set,configurable_attributes,leggingspacksize,leggingspackqty,prod_url,leggingscolor
WL#100663,,configurable,default,"KIDS Kids",39.50,2,0,1,1,"Not Available",1,"""Catalog, Search""",,kids,"Not Available","Not Specified",Imported,lashowroom,,None,100663_wl_WAP15072202_MULTI_800_0.jpg,100663_wl_WAP15072202_MULTI_800_0.jpg,100663_wl_WAP15072202_MULTI_800_0.jpg,"kids leggings","kids leggings","kids leggings",100663_wl_WAP15072202_MULTI_800_0.jpg;100663_wl_WAP15072202_MULTI_800_0.jpg;100663_wl_WAP15072202_MULTI_800D_0.jpg;100663_wl_WAP15072202_MULTI_800D_3.jpg;,13,10,2,C,Default,leggingscolor,," 10                            ",https://www.lashowroom.com/wholesalefashionistas/item/1333,
WL#100664,,configurable,default,"KIDS Kids",39.50,2,0,1,1,"Not Available",1,"""Catalog, Search""",,kids,"Not Available","Not Specified",Imported,lashowroom,,None,100664_wl_WAP15072204_MULTI_800_0.jpg,100664_wl_WAP15072204_MULTI_800_0.jpg,100664_wl_WAP15072204_MULTI_800_0.jpg,"kids leggings","kids leggings","kids leggings",100664_wl_WAP15072204_MULTI_800_0.jpg;100664_wl_WAP15072204_MULTI_800_0.jpg;100664_wl_WAP15072204_MULTI_800D_0.jpg;100664_wl_WAP15072204_MULTI_800D_3.jpg;,13,10,2,C,Default,leggingscolor,," 10                            ",https://www.lashowroom.com/wholesalefashionistas/item/1335,
WL#100665,,configurable,default,"KIDS Kids",39.50,2,0,1,1,"Not Available",1,"""Catalog, Search""",,kids,"Not Available","Not Specified",Imported,lashowroom,,None,100665_wl_WAP15072206_MULTI_800_0.jpg,100665_wl_WAP15072206_MULTI_800_0.jpg,100665_wl_WAP15072206_MULTI_800_0.jpg,"kids leggings","kids leggings","kids leggings",100665_wl_WAP15072206_MULTI_800_0.jpg;100665_wl_WAP15072206_MULTI_800_0.jpg;100665_wl_WAP15072206_MULTI_800D_0.jpg;100665_wl_WAP15072206_MULTI_800D_3.jpg;,13,10,2,C,Default,leggingscolor,," 10                            ",https://www.lashowroom.com/wholesalefashionistas/item/1337,
WL#100666,,configurable,default,"KIDS Kids",39.50,2,0,1,1,"Not Available",1,"""Catalog, Search""",,kids,"Not Available","Not Specified",Imported,lashowroom,,None,100666_wl_WAP15072205_MULTI_800_0.jpg,100666_wl_WAP15072205_MULTI_800_0.jpg,100666_wl_WAP15072205_MULTI_800_0.jpg,"kids leggings","kids leggings","kids leggings",100666_wl_WAP15072205_MULTI_800_0.jpg;100666_wl_WAP15072205_MULTI_800_0.jpg;100666_wl_WAP15072205_MULTI_800D_0.jpg;100666_wl_WAP15072205_MULTI_800D_3.jpg;,13,10,2,C,Default,leggingscolor,," 10                            ",https://www.lashowroom.com/wholesalefashionistas/item/1336,
WL#100667,,configurable,default,"KIDS Kids",39.50,2,0,1,1,"Not Available",1,"""Catalog, Search""",,kids,"Not Available","Not Specified",Imported,lashowroom,,None,100667_wl_WAP15072207_MULTI_800_0.jpg,100667_wl_WAP15072207_MULTI_800_0.jpg,100667_wl_WAP15072207_MULTI_800_0.jpg,"kids leggings","kids leggings","kids leggings",100667_wl_WAP15072207_MULTI_800_0.jpg;100667_wl_WAP15072207_MULTI_800_0.jpg;100667_wl_WAP15072207_MULTI_800D_0.jpg;100667_wl_WAP15072207_MULTI_800D_3.jpg;,13,10,2,C,Default,leggingscolor,," 10                            ",https://www.lashowroom.com/wholesalefashionistas/item/1338,
WL#100668,,configurable,default,"KIDS Kids",39.50,2,0,1,1,"Not Available",1,"""Catalog, Search""",,kids,"Not Available","Not Specified",Imported,lashowroom,,None,100668_wl_WAP15072208_MULTI_800_0.jpg,100668_wl_WAP15072208_MULTI_800_0.jpg,100668_wl_WAP15072208_MULTI_800_0.jpg,"kids leggings","kids leggings","kids leggings",100668_wl_WAP15072208_MULTI_800_0.jpg;100668_wl_WAP15072208_MULTI_800_0.jpg;100668_wl_WAP15072208_MULTI_800D_0.jpg;100668_wl_WAP15072208_MULTI_800D_3.jpg;,13,10,2,C,Default,leggingscolor,," 10                            ",https://www.lashowroom.com/wholesalefashionistas/item/1339,
WL#100669,,configurable,default,"KIDS Kids",39.50,2,0,1,1,"Not Available",1,"""Catalog, Search""",,kids,"Not Available","Not Specified",Imported,lashowroom,,None,100669_wl_WAP15072203_MULTI_800_0.jpg,100669_wl_WAP15072203_MULTI_800_0.jpg,100669_wl_WAP15072203_MULTI_800_0.jpg,"kids leggings","kids leggings","kids leggings",100669_wl_WAP15072203_MULTI_800_0.jpg;100669_wl_WAP15072203_MULTI_800_0.jpg;100669_wl_WAP15072203_MULTI_800D_0.jpg;100669_wl_WAP15072203_MULTI_800D_3.jpg;,13,10,2,C,Default,leggingscolor,," 10                            ",https://www.lashowroom.com/wholesalefashionistas/item/1334,
WL#100670,,configurable,default,"KIDS Kids",39.50,2,0,1,1,"Not Available",1,"""Catalog, Search""",,kids,"Not Available","Not Specified",Imported,lashowroom,,None,100670_wl_WAP15072209_BLACK_800_0.jpg,100670_wl_WAP15072209_BLACK_800_0.jpg,100670_wl_WAP15072209_BLACK_800_0.jpg,"kids leggings","kids leggings","kids leggings",100670_wl_WAP15072209_BLACK_800_0.jpg;100670_wl_WAP15072209_BLACK_800_0.jpg;100670_wl_WAP15072209_BLACK_800D_0.jpg;100670_wl_WAP15072209_BLACK_800D_3.jpg;,13,10,2,C,Default,leggingscolor,," 10                            ",https://www.lashowroom.com/wholesalefashionistas/item/1340,
WL#100671,,configurable,default,"LEGGINGS Printed",42.50,2,0,1,1,"Not Available",1,"""Catalog, Search""",,leggings/printed,"Not Available","Not Specified",Imported,lashowroom,,None,100671_wl_WAY150122X02_PINK_D_1.jpg,100671_wl_WAY150122X02_PINK_D_1.jpg,100671_wl_WAY150122X02_PINK_D_1.jpg,"Printed, full length, high waisted, leggings.","Printed, full length, high waisted, leggings.","Printed, full length, high waisted, leggings.",100671_wl_WAY150122X02_PINK_D_1.jpg;100671_wl_WAY150122X02_PINK_L_0.jpg;100671_wl_WAY150122X02_PINK_D_0.jpg;100671_wl_WAY150122X02_PINK_D_1.jpg;100671_wl_WAY150122X02_PINK_D_2.jpg;,13,10,3,C,Default,leggingscolor,," 10                            ",https://www.lashowroom.com/wholesalefashionistas/item/651,
WL#100672,,configurable,default,"LEGGINGS Printed",42.50,2,0,1,1,"Not Available",1,"""Catalog, Search""",,leggings/printed,"Not Available","Not Specified",Imported,lashowroom,,None,100672_wl_WAY15010615_MULTI_D_1.jpg,100672_wl_WAY15010615_MULTI_D_1.jpg,100672_wl_WAY15010615_MULTI_D_1.jpg,"Navajo print, high waisted, full length, leggings with an elasticized waist.","Navajo print, high waisted, full length, leggings with an elasticized waist.","Navajo print, high waisted, full length, leggings with an elasticized waist.",100672_wl_WAY15010615_MULTI_D_1.jpg;100672_wl_WAY15010615_MULTI_L_0.jpg;100672_wl_WAY15010615_MULTI_D_0.jpg;100672_wl_WAY15010615_MULTI_D_1.jpg;100672_wl_WAY15010615_MULTI_D_2.jpg;,13,10,3,C,Default,leggingscolor,," 10                            ",https://www.lashowroom.com/wholesalefashionistas/item/579,
