sku,bin_location,type,store,name,description,short_description,price,qty,weight,is_in_stock,manage_stock,use_config_manage_stock,model_size_desc,status,visibility,brand,categories,pack,fabric,made,source,source_sku,tax_class_id,image,small_image,thumbnail,image_label,small_image_label,thumbnail_label,media_gallery,auctioninc_product_length,auctioninc_product_width,auctioninc_product_height,auctioninc_calc_method,attribute_set,configurable_attributes,leggingspacksize,leggingspackqty,prod_url,leggingscolor
WL#101853,,configurable,default,"Wholesale Womens Plus Size Treggings Duo Fabric","Wholesale Womens Plus Size Treggings Duo Fabric","Wholesale Womens Plus Size Treggings Duo Fabric",61.5,100,3,1,1,1,,1,"""Catalog, Search""",,plus-size/leggings/pants,6PCS/PREPACK,"92% POLYESTER
8% SPANDEX",Imported,sngapparelinc,XTRG14PT002,None,101853_wl_xtrg14pt002_blkwht_d_0.jpg,101853_wl_xtrg14pt002_blkwht_d_0.jpg,101853_wl_xtrg14pt002_blkwht_d_0.jpg,"Wholesale Womens Plus Size Treggings Duo Fabric","Wholesale Womens Plus Size Treggings Duo Fabric","Wholesale Womens Plus Size Treggings Duo Fabric",101853_wl_xtrg14pt002_blkwht_d_0.jpg;101853_wl_xtrg14pt002_blkwht_d_1.jpg;101853_wl_xtrg14pt002_blkwht_d_2.jpg;101853_wl_xtrg14pt002_blkwht_l_0.jpg;,14,10,3,C,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",http://sngapparelinc.com/plus-size-leggings-1392/pants/wholesale-womens-plus-size-treggings-duo-fabric.html,
"WL#101854#Just as picture",,simple,default,"Wholesale Womens Plus Size Treggings Duo Fabric  Just as picture","Wholesale Womens Plus Size Treggings Duo Fabric ","Wholesale Womens Plus Size Treggings Duo Fabric ",10.25,100,3,1,1,1,,1,"""Not Visible Individually""",,plus-size/leggings/pants,6PCS/PREPACK,"92% POLYESTER
8% SPANDEX",Imported,sngapparelinc,XTRG14PT003,None,101854_wl_xtrg14pt003_blkwht_d_0.jpg,101854_wl_xtrg14pt003_blkwht_d_0.jpg,101854_wl_xtrg14pt003_blkwht_d_0.jpg,"Wholesale Womens Plus Size Treggings Duo Fabric ","Wholesale Womens Plus Size Treggings Duo Fabric ","Wholesale Womens Plus Size Treggings Duo Fabric ",101854_wl_xtrg14pt003_blkwht_d_0.jpg;101854_wl_xtrg14pt003_blkwht_l_0.jpg;101854_wl_xtrg14pt003_blkwht_d_2.jpg;101854_wl_xtrg14pt003_blkwht_d_1.jpg;,14,10,3,C,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",http://sngapparelinc.com/plus-size-leggings-1392/pants/wholesale-womens-plus-size-treggings-duo-fabric-2063.html,"Just as picture"
WL#101854,,configurable,default,"Wholesale Womens Plus Size Treggings Duo Fabric ","Wholesale Womens Plus Size Treggings Duo Fabric ","Wholesale Womens Plus Size Treggings Duo Fabric ",61.5,100,3,1,1,1,,1,"""Catalog, Search""",,plus-size/leggings/pants,6PCS/PREPACK,"92% POLYESTER
8% SPANDEX",Imported,sngapparelinc,XTRG14PT003,None,101854_wl_xtrg14pt003_blkwht_d_0.jpg,101854_wl_xtrg14pt003_blkwht_d_0.jpg,101854_wl_xtrg14pt003_blkwht_d_0.jpg,"Wholesale Womens Plus Size Treggings Duo Fabric ","Wholesale Womens Plus Size Treggings Duo Fabric ","Wholesale Womens Plus Size Treggings Duo Fabric ",101854_wl_xtrg14pt003_blkwht_d_0.jpg;101854_wl_xtrg14pt003_blkwht_l_0.jpg;101854_wl_xtrg14pt003_blkwht_d_2.jpg;101854_wl_xtrg14pt003_blkwht_d_1.jpg;,14,10,3,C,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",http://sngapparelinc.com/plus-size-leggings-1392/pants/wholesale-womens-plus-size-treggings-duo-fabric-2063.html,
WL#101855#White,,simple,default,"Wholesale Womens Plus Size Scuba Pants Treggings White","Wholesale Womens Plus Size Scuba Pants Treggings","Wholesale Womens Plus Size Scuba Pants Treggings",10.25,100,3,1,1,1,,1,"""Not Visible Individually""",,plus-size/leggings/pants,6PCS/PREPACK,"92% POLYESTER
8% SPANDEX",Imported,sngapparelinc,SPNP085,None,101855_wl_spnp085_blkwht_d_1.jpg,101855_wl_spnp085_blkwht_d_1.jpg,101855_wl_spnp085_blkwht_d_1.jpg,"Wholesale Womens Plus Size Scuba Pants Treggings","Wholesale Womens Plus Size Scuba Pants Treggings","Wholesale Womens Plus Size Scuba Pants Treggings",101855_wl_spnp085_blkwht_d_1.jpg;101855_wl_spnp085_blkwht_d_0.jpg;101855_wl_spnp085_blkwht_l_0.jpg;101855_wl_spnp085_blkwht_d_2.jpg;101855_wl_spn085red_red_d_0.jpg;101855_wl_spn085red_red_l_0.jpg;101855_wl_spn085red_red_d_1.jpg;101855_wl_spnp085blkred_blkred_l_0.jpg;,14,10,3,C,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",http://sngapparelinc.com/plus-size-leggings-1392/pants/womens-plus-size-scuba-pants-treggings.html,White
WL#101855#Black,,simple,default,"Wholesale Womens Plus Size Scuba Pants Treggings Black","Wholesale Womens Plus Size Scuba Pants Treggings","Wholesale Womens Plus Size Scuba Pants Treggings",10.25,100,3,1,1,1,,1,"""Not Visible Individually""",,plus-size/leggings/pants,6PCS/PREPACK,"92% POLYESTER
8% SPANDEX",Imported,sngapparelinc,SPNP085,None,101855_wl_spnp085_blkwht_d_1.jpg,101855_wl_spnp085_blkwht_d_1.jpg,101855_wl_spnp085_blkwht_d_1.jpg,"Wholesale Womens Plus Size Scuba Pants Treggings","Wholesale Womens Plus Size Scuba Pants Treggings","Wholesale Womens Plus Size Scuba Pants Treggings",101855_wl_spnp085_blkwht_d_1.jpg;101855_wl_spnp085_blkwht_d_0.jpg;101855_wl_spnp085_blkwht_l_0.jpg;101855_wl_spnp085_blkwht_d_2.jpg;101855_wl_spn085red_red_d_0.jpg;101855_wl_spn085red_red_l_0.jpg;101855_wl_spn085red_red_d_1.jpg;101855_wl_spnp085blkred_blkred_l_0.jpg;,14,10,3,C,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",http://sngapparelinc.com/plus-size-leggings-1392/pants/womens-plus-size-scuba-pants-treggings.html,Black
WL#101855#Red,,simple,default,"Wholesale Womens Plus Size Scuba Pants Treggings Red","Wholesale Womens Plus Size Scuba Pants Treggings","Wholesale Womens Plus Size Scuba Pants Treggings",10.25,100,3,1,1,1,,1,"""Not Visible Individually""",,plus-size/leggings/pants,6PCS/PREPACK,"92% POLYESTER
8% SPANDEX",Imported,sngapparelinc,SPNP085,None,101855_wl_spnp085_blkwht_d_1.jpg,101855_wl_spnp085_blkwht_d_1.jpg,101855_wl_spnp085_blkwht_d_1.jpg,"Wholesale Womens Plus Size Scuba Pants Treggings","Wholesale Womens Plus Size Scuba Pants Treggings","Wholesale Womens Plus Size Scuba Pants Treggings",101855_wl_spnp085_blkwht_d_1.jpg;101855_wl_spnp085_blkwht_d_0.jpg;101855_wl_spnp085_blkwht_l_0.jpg;101855_wl_spnp085_blkwht_d_2.jpg;101855_wl_spn085red_red_d_0.jpg;101855_wl_spn085red_red_l_0.jpg;101855_wl_spn085red_red_d_1.jpg;101855_wl_spnp085blkred_blkred_l_0.jpg;,14,10,3,C,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",http://sngapparelinc.com/plus-size-leggings-1392/pants/womens-plus-size-scuba-pants-treggings.html,Red
WL#101855,,configurable,default,"Wholesale Womens Plus Size Scuba Pants Treggings","Wholesale Womens Plus Size Scuba Pants Treggings","Wholesale Womens Plus Size Scuba Pants Treggings",61.5,100,3,1,1,1,,1,"""Catalog, Search""",,plus-size/leggings/pants,6PCS/PREPACK,"92% POLYESTER
8% SPANDEX",Imported,sngapparelinc,SPNP085,None,101855_wl_spnp085_blkwht_d_1.jpg,101855_wl_spnp085_blkwht_d_1.jpg,101855_wl_spnp085_blkwht_d_1.jpg,"Wholesale Womens Plus Size Scuba Pants Treggings","Wholesale Womens Plus Size Scuba Pants Treggings","Wholesale Womens Plus Size Scuba Pants Treggings",101855_wl_spnp085_blkwht_d_1.jpg;101855_wl_spnp085_blkwht_d_0.jpg;101855_wl_spnp085_blkwht_l_0.jpg;101855_wl_spnp085_blkwht_d_2.jpg;101855_wl_spn085red_red_d_0.jpg;101855_wl_spn085red_red_l_0.jpg;101855_wl_spn085red_red_d_1.jpg;101855_wl_spnp085blkred_blkred_l_0.jpg;,14,10,3,C,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",http://sngapparelinc.com/plus-size-leggings-1392/pants/womens-plus-size-scuba-pants-treggings.html,
"WL#101856#Just as picture",,simple,default,"Wholesale Womens Plus Size Leggings Border Print Just as picture","Wholesale Womens Plus Size Leggings Border Print","Wholesale Womens Plus Size Leggings Border Print",5.75,100,3,1,1,1,,1,"""Not Visible Individually""",,plus-size/leggings/printed,6PCS/PREPACK,"92%POLYESTER
8%SPANDEX",Imported,sngapparelinc,XPL15BP024,None,101856_wl_xpl15bp024_color_l_0.jpg,101856_wl_xpl15bp024_color_l_0.jpg,101856_wl_xpl15bp024_color_l_0.jpg,"Wholesale Womens Plus Size Leggings Border Print","Wholesale Womens Plus Size Leggings Border Print","Wholesale Womens Plus Size Leggings Border Print",101856_wl_xpl15bp024_color_l_0.jpg;101856_wl_xpl15bp024_color_d_2.jpg;101856_wl_xpl15bp024_color_d_0.jpg;101856_wl_xpl15bp024_color_d_1.jpg;,14,10,3,C,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",http://sngapparelinc.com/plus-size-leggings-1392/printed-leggings/wholesale-womens-plus-size-leggings-border-print.html,"Just as picture"
WL#101856,,configurable,default,"Wholesale Womens Plus Size Leggings Border Print","Wholesale Womens Plus Size Leggings Border Print","Wholesale Womens Plus Size Leggings Border Print",34.5,100,3,1,1,1,,1,"""Catalog, Search""",,plus-size/leggings/printed,6PCS/PREPACK,"92%POLYESTER
8%SPANDEX",Imported,sngapparelinc,XPL15BP024,None,101856_wl_xpl15bp024_color_l_0.jpg,101856_wl_xpl15bp024_color_l_0.jpg,101856_wl_xpl15bp024_color_l_0.jpg,"Wholesale Womens Plus Size Leggings Border Print","Wholesale Womens Plus Size Leggings Border Print","Wholesale Womens Plus Size Leggings Border Print",101856_wl_xpl15bp024_color_l_0.jpg;101856_wl_xpl15bp024_color_d_2.jpg;101856_wl_xpl15bp024_color_d_0.jpg;101856_wl_xpl15bp024_color_d_1.jpg;,14,10,3,C,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",http://sngapparelinc.com/plus-size-leggings-1392/printed-leggings/wholesale-womens-plus-size-leggings-border-print.html,
"WL#101857#Just as picture",,simple,default,"Wholesale Womens Plus Size Leggings Paisley Just as picture","Wholesale Womens Plus Size Leggings Paisley","Wholesale Womens Plus Size Leggings Paisley",5.75,100,3,1,1,1,,1,"""Not Visible Individually""",,plus-size/leggings/printed,6PCS/PREPACK,"92%POLYESTER
8%SPANDEX",Imported,sngapparelinc,XPL15BP069,None,101857_wl_xpl15bp069_multi_l_0.jpg,101857_wl_xpl15bp069_multi_l_0.jpg,101857_wl_xpl15bp069_multi_l_0.jpg,"Wholesale Womens Plus Size Leggings Paisley","Wholesale Womens Plus Size Leggings Paisley","Wholesale Womens Plus Size Leggings Paisley",101857_wl_xpl15bp069_multi_l_0.jpg;101857_wl_xpl15bp069_multi_d_0.jpg;101857_wl_xpl15bp069_multi_d_1.jpg;101857_wl_xpl15bp069_multi_d_2.jpg;,14,10,3,C,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",http://sngapparelinc.com/plus-size-leggings-1392/printed-leggings/wholesale-womens-plus-size-leggings-paisley.html,"Just as picture"
