category,subCategory,category_str,price,weight,auctioninc_product_length,auctioninc_product_width,auctioninc_product_height,prod_url
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/handbag-printed-ankle-leggings-p-18646.html?cPath=1067
kids,capri,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/denim-capri-leggings-with-embroidered-back-pockets-p-18645.html?cPath=1067
kids,capri,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/denim-capri-leggings-with-button-keyhole-detail-p-18644.html?cPath=1067
kids,capri,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/denim-capri-leggings-with-button-detail-p-18643.html?cPath=1067
kids,,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/textured-ankle-leggings-p-18477.html?cPath=1067
kids,missy,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/premium-quality-highwaist-ankle-leggings-p-18476.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-aztec-print-ankle-leggings-p-18472.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-elephant-print-ankle-leggings-p-18471.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-elephant-print-ankle-leggings-p-18470.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/aztec-print-ankle-leggings-p-18457.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/aztec-print-ankle-leggings-p-18456.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/elephant-print-ankle-leggings-p-18455.html?cPath=1067
leggings,,leggings/,1.75,0.3,14,10,2,http://numberonewholesales.com/elephant-print-ankle-leggings-p-18454.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/elephant-print-ankle-leggings-p-18453.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/aztec-print-ankle-leggings-p-18452.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/arrow-print-ankle-leggings-p-18451.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/aztec-print-ankle-leggings-p-18450.html?cPath=1067
kids,missy,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/premium-denim-pocket-ribbed-waistband-ankle-leggings-p-18448.html?cPath=1067
kids,capri,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/denim-capri-leggings-with-button-detail-p-18402.html?cPath=1067
leggings,printed,leggings/printed,1.75,0.3,14,10,2,http://numberonewholesales.com/denim-printed-ankle-legging-p-18401.html?cPath=1067
leggings,printed,leggings/printed,1.75,0.3,14,10,2,http://numberonewholesales.com/denim-printed-ankle-legging-p-18400.html?cPath=1067
kids,seamless,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/seamless-32-full-leggings-p-34.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-brushed-american-flag-print-ankle-leggings-p-18326.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-brushed-american-flag-print-ankle-leggings-p-18327.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-brushed-camouflage-print-ankle-leggings-p-18291.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-brushed-camouflage-print-ankle-leggings-p-16137.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/printed-ankle-leggings-p-18308.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/colorblock-printed-ankle-leggings-p-18303.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/animal-printed-ankle-leggings-p-18304.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/psychedelic-printed-ankle-leggings-p-18301.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/jprinted-ankle-leggings-p-18302.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/printed-ankle-leggings-p-18300.html?cPath=1067
leggings,,leggings/,1.75,0.3,14,10,2,http://numberonewholesales.com/printed-ankle-leggings-p-18299.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/fishes-printed-ankle-leggings-p-18298.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/fishes-printed-ankle-leggings-p-18297.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/hearts-printed-ankle-leggings-p-18296.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/tribal-printed-ankle-leggings-p-18295.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/bags-printed-ankle-leggings-p-18294.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/printed-ankle-leggings-p-18293.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/printed-ankle-leggings-p-18292.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/printed-ankle-leggings-p-18290.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-brushed-print-ankle-leggings-p-18286.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-brushed-poly-print-ankle-leggings-p-18289.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-brushed-poly-print-ankle-leggings-p-18288.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-aztec-print-ankle-leggings-p-18287.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-brushed-tribal-print-ankle-leggings-p-18285.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-brushed-aztec-print-ankle-leggings-p-15728.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-brushed-poly-print-ankle-leggings-p-18284.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-american-flag-print-ankle-leggings-p-17960.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-american-flag-print-ankle-leggings-p-17961.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/multicolor-printed-ankle-leggings-p-18280.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/multicolor-printed-ankle-leggings-p-18279.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/floral-printed-ankle-leggings-p-18278.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/printed-ankle-leggings-p-18276.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/floral-printed-ankle-leggings-p-18274.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/floral-printed-ankle-leggings-p-18273.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/floral-printed-ankle-leggings-p-18272.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/floral-printed-ankle-leggings-p-18271.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/checkered-printed-ankle-leggings-p-18270.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/printed-ankle-leggings-p-18269.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/printed-ankle-leggings-p-18267.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/printed-ankle-leggings-p-18266.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/printed-ankle-leggings-p-18264.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/chevron-printed-ankle-leggings-p-18263.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/printed-ankle-leggings-p-18262.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/cat-print-ankle-leggings-p-18260.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/banded-print-ankle-leggings-p-18244.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/banded-print-ankle-leggings-p-18242.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/banded-print-ankle-leggings-p-18243.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/banded-print-ankle-leggings-p-18238.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/banded-print-ankle-leggings-p-18239.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/banded-print-ankle-leggings-p-18240.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/banded-print-ankle-leggings-p-18236.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/banded-print-ankle-leggings-p-18241.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/banded-print-ankle-leggings-p-18235.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/banded-print-ankle-leggings-p-18233.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-brushed-print-ankle-leggings-p-18205.html?cPath=1067
kids,capri,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-seamless-capri-27-leggings-p-1027.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-brushed-bohemian-print-ankle-leggings-p-18196.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-brushed-aztec-print-ankle-leggings-p-18202.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-brushed-animal-print-ankle-leggings-p-18201.html?cPath=1067
leggings,printed,leggings/printed,1.75,0.3,14,10,2,http://numberonewholesales.com/denim-printed-ankle-legging-p-18203.html?cPath=1067
leggings,printed,leggings/printed,1.75,0.3,14,10,2,http://numberonewholesales.com/denim-printed-ankle-legging-p-18198.html?cPath=1067
leggings,printed,leggings/printed,1.75,0.3,14,10,2,http://numberonewholesales.com/denim-printed-ankle-legging-p-18200.html?cPath=1067
leggings,pants,leggings/pants,1.75,0.3,14,10,2,http://numberonewholesales.com/pu-drawstring-jogger-pants-p-18189.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-brushed-print-ankle-leggings-p-18199.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-brushed-aztec-print-ankle-leggings-p-18197.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-brushed-aztec-print-ankle-leggings-p-18195.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-brushed-chevron-print-ankle-leggings-p-18194.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-brushed-aztec-print-ankle-leggings-p-18193.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-brushed-aztec-print-ankle-leggings-p-18192.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-brushed-aztec-print-ankle-leggings-p-18191.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-aztec-print-ankle-leggings-p-18190.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-brushed-aztec-print-ankle-leggings-p-18188.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-brushed-aztec-print-ankle-leggings-p-18187.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-brushed-aztec-print-ankle-leggings-p-18186.html?cPath=1067
kids,missy,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/zipper-high-waist-denim-ankle-leggings-p-11224.html?cPath=1067
kids,missy,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/zipper-high-waist-denim-ankle-leggings-p-11225.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-brushed-aztec-print-ankle-leggings-p-18014.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-aztec-print-ankle-leggings-p-18075.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-aztec-print-ankle-leggings-p-18074.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-aztec-print-ankle-leggings-p-18072.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-aztec-print-ankle-leggings-p-18071.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-aztec-print-ankle-leggings-p-18070.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-aztec-print-ankle-leggings-p-18069.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-aztec-print-ankle-leggings-p-18068.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-aztec-print-ankle-leggings-p-18066.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-pattern-print-ankle-leggings-p-18065.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-aztec-print-ankle-leggings-p-18063.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-pattern-print-ankle-leggings-p-18062.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-chevron-print-ankle-leggings-p-18061.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-aztec-print-ankle-leggings-p-18057.html?cPath=1067
